i,instanceName,randomSeed,initialCost,finalCost,runtimeSeconds
1,5_40,10051,428,0,54.100000
2,5_40,10290,428,0,30.900000
3,5_40,10704,428,0,37.970000
4,5_40,11499,428,0,48.950000
5,5_40,11888,428,0,63.390000
6,5_40,11937,428,0,38.730000
7,5_40,12030,428,0,68.850000
8,5_40,12148,428,0,59.750000
9,5_40,13012,428,0,41.360000
10,5_40,13088,428,0,44.990000
11,5_40,13093,428,0,59.360000
12,5_40,13598,428,0,86.590000
13,5_40,13680,428,0,73.140000
14,5_40,13805,428,0,29.170000
15,5_40,1431,428,0,56.080000
16,5_40,14590,428,0,66.620000
17,5_40,14701,428,0,65.980000
18,5_40,14735,428,0,79.000000
19,5_40,14829,428,0,47.700000
20,5_40,15011,428,0,73.380000
21,5_40,15299,428,0,44.460000
22,5_40,15355,428,0,62.410000
23,5_40,15511,428,0,54.290000
24,5_40,15883,428,0,42.920000
25,5_40,15891,428,0,84.780000
26,5_40,16120,428,0,38.320000
27,5_40,16702,428,0,55.240000
28,5_40,16859,428,0,70.580000
29,5_40,17665,428,0,51.810000
30,5_40,17699,428,0,41.980000
31,5_40,17839,428,0,35.260000
32,5_40,18109,428,0,98.550000
33,5_40,18448,428,0,51.510000
34,5_40,1885,428,0,51.270000
35,5_40,19205,428,0,71.830000
36,5_40,19260,428,0,66.510000
37,5_40,19428,428,0,74.250000
38,5_40,19473,428,0,41.290000
39,5_40,19519,428,0,115.190000
40,5_40,19883,428,0,36.060000
41,5_40,20369,428,0,39.660000
42,5_40,20645,428,0,47.110000
43,5_40,21023,428,0,39.290000
44,5_40,21099,428,0,22.930000
45,5_40,21321,428,0,33.500000
46,5_40,21427,428,0,33.070000
47,5_40,21946,428,0,40.620000
48,5_40,22071,428,0,35.650000
49,5_40,22125,428,0,46.200000
50,5_40,22872,428,0,74.530000
51,5_40,23681,428,0,150.320000
52,5_40,24144,428,0,45.740000
53,5_40,24270,428,0,26.690000
54,5_40,24388,428,0,31.510000
55,5_40,24770,428,0,51.800000
56,5_40,25999,428,0,71.900000
57,5_40,26291,428,0,49.140000
58,5_40,26422,428,0,40.660000
59,5_40,27023,428,0,50.660000
60,5_40,27313,428,0,57.130000
61,5_40,27365,428,0,109.170000
62,5_40,27685,428,0,54.550000
63,5_40,2836,428,0,93.590000
64,5_40,28373,428,0,51.300000
65,5_40,28848,428,0,56.240000
66,5_40,29103,428,0,61.520000
67,5_40,29163,428,0,102.380000
68,5_40,29319,428,0,61.130000
69,5_40,2948,428,0,29.700000
70,5_40,29712,428,0,66.720000
71,5_40,29735,428,0,24.610000
72,5_40,29949,428,0,53.720000
73,5_40,30094,428,0,52.980000
74,5_40,30430,428,0,44.660000
75,5_40,30464,428,0,52.450000
76,5_40,305,428,0,56.070000
77,5_40,30882,428,0,28.690000
78,5_40,31055,428,0,58.860000
79,5_40,31323,428,0,28.180000
80,5_40,31462,428,0,37.530000
81,5_40,31725,428,0,36.460000
82,5_40,31836,428,0,73.260000
83,5_40,31993,428,0,52.750000
84,5_40,32093,428,0,73.310000
85,5_40,32159,428,0,74.360000
86,5_40,32424,428,0,41.550000
87,5_40,3324,428,0,102.040000
88,5_40,3487,428,0,56.950000
89,5_40,4616,428,0,64.030000
90,5_40,4896,428,0,47.570000
91,5_40,5072,428,0,78.160000
92,5_40,516,428,0,65.300000
93,5_40,534,428,0,42.980000
94,5_40,6248,428,0,72.810000
95,5_40,7025,428,0,51.780000
96,5_40,7405,428,0,48.340000
97,5_40,752,428,0,55.180000
98,5_40,8345,428,0,38.370000
99,5_40,8460,428,0,52.920000
100,5_40,890,428,0,39.800000
