i,instanceName,randomSeed,initialCost,finalCost,runtimeSeconds
1,3_10,10051,72,0,0.070000
2,3_10,10290,72,0,0.050000
3,3_10,10704,72,0,0.090000
4,3_10,11499,72,0,0.060000
5,3_10,11888,72,0,0.130000
6,3_10,11937,72,0,0.180000
7,3_10,12030,72,0,0.060000
8,3_10,12148,72,0,0.140000
9,3_10,13012,72,0,0.070000
10,3_10,13088,72,0,0.080000
11,3_10,13093,72,0,0.060000
12,3_10,13598,72,0,0.140000
13,3_10,13680,72,0,0.150000
14,3_10,13805,72,0,0.250000
15,3_10,1431,72,0,0.170000
16,3_10,14590,72,0,0.130000
17,3_10,14701,72,0,0.180000
18,3_10,14735,72,0,0.080000
19,3_10,14829,72,0,0.090000
20,3_10,15011,72,0,0.070000
21,3_10,15299,72,0,0.090000
22,3_10,15355,72,0,0.150000
23,3_10,15511,72,0,0.130000
24,3_10,15883,72,0,0.130000
25,3_10,15891,72,0,0.110000
26,3_10,16120,72,0,0.050000
27,3_10,16702,72,0,0.090000
28,3_10,16859,72,0,0.120000
29,3_10,17665,72,0,0.200000
30,3_10,17699,72,0,0.160000
31,3_10,17839,72,0,0.260000
32,3_10,18109,72,0,0.170000
33,3_10,18448,72,0,0.110000
34,3_10,1885,72,0,0.090000
35,3_10,19205,72,0,0.180000
36,3_10,19260,72,0,0.070000
37,3_10,19428,72,0,0.150000
38,3_10,19473,72,0,0.060000
39,3_10,19519,72,0,0.100000
40,3_10,19883,72,0,0.180000
41,3_10,20369,72,0,0.140000
42,3_10,20645,72,0,0.070000
43,3_10,21023,72,0,0.100000
44,3_10,21099,72,0,0.080000
45,3_10,21321,72,0,0.060000
46,3_10,21427,72,0,0.110000
47,3_10,21946,72,0,0.140000
48,3_10,22071,72,0,0.070000
49,3_10,22125,72,0,0.110000
50,3_10,22872,72,0,0.160000
51,3_10,23681,72,0,0.150000
52,3_10,24144,72,0,0.050000
53,3_10,24270,72,0,0.180000
54,3_10,24388,72,0,0.130000
55,3_10,24770,72,0,0.080000
56,3_10,25999,72,0,0.150000
57,3_10,26291,72,0,0.090000
58,3_10,26422,72,0,0.060000
59,3_10,27023,72,0,0.070000
60,3_10,27313,72,0,0.110000
61,3_10,27365,72,0,0.270000
62,3_10,27685,72,0,0.050000
63,3_10,2836,72,0,0.090000
64,3_10,28373,72,0,0.140000
65,3_10,28848,72,0,0.140000
66,3_10,29103,72,0,0.080000
67,3_10,29163,72,0,0.110000
68,3_10,29319,72,0,0.110000
69,3_10,2948,72,0,0.130000
70,3_10,29712,72,0,0.110000
71,3_10,29735,72,0,0.060000
72,3_10,29949,72,0,0.160000
73,3_10,30094,72,0,0.080000
74,3_10,30430,72,0,0.110000
75,3_10,30464,72,0,0.090000
76,3_10,305,72,0,0.120000
77,3_10,30882,72,0,0.110000
78,3_10,31055,72,0,0.220000
79,3_10,31323,72,0,0.090000
80,3_10,31462,72,0,0.120000
81,3_10,31725,72,0,0.090000
82,3_10,31836,72,0,0.060000
83,3_10,31993,72,0,0.140000
84,3_10,32093,72,0,0.070000
85,3_10,32159,72,0,0.160000
86,3_10,32424,72,0,0.100000
87,3_10,3324,72,0,0.160000
88,3_10,3487,72,0,0.140000
89,3_10,4616,72,0,0.120000
90,3_10,4896,72,0,0.130000
91,3_10,5072,72,0,0.090000
92,3_10,516,72,0,0.170000
93,3_10,534,72,0,0.170000
94,3_10,6248,72,0,0.060000
95,3_10,7025,72,0,0.150000
96,3_10,7405,72,0,0.150000
97,3_10,752,72,0,0.080000
98,3_10,8345,72,0,0.070000
99,3_10,8460,72,0,0.130000
100,3_10,890,72,0,0.110000
