i,instanceName,randomSeed,initialCost,finalCost,runtimeSeconds
1,4_45,10051,168,0,3.090000
2,4_45,10290,168,0,3.240000
3,4_45,10704,168,0,3.430000
4,4_45,11499,168,0,6.100000
5,4_45,11888,168,0,3.330000
6,4_45,11937,168,0,4.090000
7,4_45,12030,168,0,2.070000
8,4_45,12148,168,0,2.510000
9,4_45,13012,168,0,3.980000
10,4_45,13088,168,0,2.910000
11,4_45,13093,168,0,5.850000
12,4_45,13598,168,0,4.210000
13,4_45,13680,168,0,2.770000
14,4_45,13805,168,0,3.240000
15,4_45,1431,168,0,3.240000
16,4_45,14590,168,0,3.380000
17,4_45,14701,168,0,3.720000
18,4_45,14735,168,0,4.020000
19,4_45,14829,168,0,1.910000
20,4_45,15011,168,0,2.140000
21,4_45,15299,168,0,2.590000
22,4_45,15355,168,0,6.050000
23,4_45,15511,168,0,2.640000
24,4_45,15883,168,0,2.810000
25,4_45,15891,168,0,4.500000
26,4_45,16120,168,0,2.380000
27,4_45,16702,168,0,2.920000
28,4_45,16859,168,0,2.970000
29,4_45,17665,168,0,5.050000
30,4_45,17699,168,0,3.370000
31,4_45,17839,168,0,9.180000
32,4_45,18109,168,0,2.730000
33,4_45,18448,168,0,3.230000
34,4_45,1885,168,0,3.530000
35,4_45,19205,168,0,4.910000
36,4_45,19260,168,0,2.230000
37,4_45,19428,168,0,2.360000
38,4_45,19473,168,0,1.420000
39,4_45,19519,168,0,1.640000
40,4_45,19883,168,0,7.830000
41,4_45,20369,168,0,2.310000
42,4_45,20645,168,0,2.630000
43,4_45,21023,168,0,1.980000
44,4_45,21099,168,0,2.460000
45,4_45,21321,168,0,2.160000
46,4_45,21427,168,0,2.860000
47,4_45,21946,168,0,2.880000
48,4_45,22071,168,0,4.090000
49,4_45,22125,168,0,5.280000
50,4_45,22872,168,0,13.300000
51,4_45,23681,168,0,2.060000
52,4_45,24144,168,0,4.060000
53,4_45,24270,168,0,2.610000
54,4_45,24388,168,0,5.080000
55,4_45,24770,168,0,2.810000
56,4_45,25999,168,0,2.530000
57,4_45,26291,168,0,3.480000
58,4_45,26422,168,0,2.440000
59,4_45,27023,168,0,3.440000
60,4_45,27313,168,0,6.130000
61,4_45,27365,168,0,4.120000
62,4_45,27685,168,0,8.950000
63,4_45,2836,168,0,1.810000
64,4_45,28373,168,0,2.950000
65,4_45,28848,168,0,4.450000
66,4_45,29103,168,0,2.850000
67,4_45,29163,168,0,3.050000
68,4_45,29319,168,0,3.060000
69,4_45,2948,168,0,2.310000
70,4_45,29712,168,0,2.640000
71,4_45,29735,168,0,1.660000
72,4_45,29949,168,0,2.550000
73,4_45,30094,168,0,3.160000
74,4_45,30430,168,0,7.730000
75,4_45,30464,168,0,3.180000
76,4_45,305,168,0,2.220000
77,4_45,30882,168,0,1.810000
78,4_45,31055,168,0,2.740000
79,4_45,31323,168,0,1.910000
80,4_45,31462,168,0,2.040000
81,4_45,31725,168,0,4.360000
82,4_45,31836,168,0,2.860000
83,4_45,31993,168,0,2.580000
84,4_45,32093,168,0,2.140000
85,4_45,32159,168,0,3.100000
86,4_45,32424,168,0,3.750000
87,4_45,3324,168,0,2.330000
88,4_45,3487,168,0,2.770000
89,4_45,4616,168,0,4.320000
90,4_45,4896,168,0,2.890000
91,4_45,5072,168,0,2.560000
92,4_45,516,168,0,2.410000
93,4_45,534,168,0,3.990000
94,4_45,6248,168,0,4.410000
95,4_45,7025,168,0,1.400000
96,4_45,7405,168,0,4.310000
97,4_45,752,168,0,4.330000
98,4_45,8345,168,0,6.460000
99,4_45,8460,168,0,3.180000
100,4_45,890,168,0,3.420000
