i,instanceName,randomSeed,initialCost,finalCost,runtimeSeconds
1,5_80,10051,180,0,47.740000
2,5_80,10290,180,0,45.400000
3,5_80,10704,180,0,57.470000
4,5_80,11499,180,0,83.780000
5,5_80,11888,180,0,35.540000
6,5_80,11937,180,0,58.270000
7,5_80,12030,180,0,37.030000
8,5_80,12148,180,0,116.250000
9,5_80,13012,180,0,64.930000
10,5_80,13088,180,0,50.760000
11,5_80,13093,180,0,49.390000
12,5_80,13598,180,0,49.590000
13,5_80,13680,180,0,98.630000
14,5_80,13805,180,0,51.260000
15,5_80,1431,180,0,72.110000
16,5_80,14590,180,0,26.030000
17,5_80,14701,180,0,36.450000
18,5_80,14735,180,0,63.410000
19,5_80,14829,180,0,83.120000
20,5_80,15011,180,0,77.250000
21,5_80,15299,180,0,54.390000
22,5_80,15355,180,0,65.470000
23,5_80,15511,180,0,50.880000
24,5_80,15883,180,0,111.180000
25,5_80,15891,180,0,78.760000
26,5_80,16120,180,0,51.320000
27,5_80,16702,180,0,42.990000
28,5_80,16859,180,0,74.060000
29,5_80,17665,180,0,134.430000
30,5_80,17699,180,0,54.260000
31,5_80,17839,180,0,47.650000
32,5_80,18109,180,0,79.470000
33,5_80,18448,180,0,40.960000
34,5_80,1885,180,0,61.510000
35,5_80,19205,180,0,40.290000
36,5_80,19260,180,0,51.630000
37,5_80,19428,180,0,68.390000
38,5_80,19473,180,0,97.510000
39,5_80,19519,180,0,34.730000
40,5_80,19883,180,0,77.230000
41,5_80,20369,180,0,87.530000
42,5_80,20645,180,0,43.070000
43,5_80,21023,180,0,40.090000
44,5_80,21099,180,0,52.870000
45,5_80,21321,180,0,30.210000
46,5_80,21427,180,0,58.890000
47,5_80,21946,180,0,51.080000
48,5_80,22071,180,0,48.370000
49,5_80,22125,180,0,28.520000
50,5_80,22872,180,0,84.540000
51,5_80,23681,180,0,131.240000
52,5_80,24144,180,0,67.710000
53,5_80,24270,180,0,38.650000
54,5_80,24388,180,0,66.520000
55,5_80,24770,180,0,45.680000
56,5_80,25999,180,0,46.230000
57,5_80,26291,180,0,62.720000
58,5_80,26422,180,0,62.380000
59,5_80,27023,180,0,58.170000
60,5_80,27313,180,0,38.470000
61,5_80,27365,180,0,48.540000
62,5_80,27685,180,0,50.650000
63,5_80,2836,180,0,49.350000
64,5_80,28373,180,0,85.640000
65,5_80,28848,180,0,73.250000
66,5_80,29103,180,0,50.030000
67,5_80,29163,180,0,39.030000
68,5_80,29319,180,0,166.220000
69,5_80,2948,180,0,31.020000
70,5_80,29712,180,0,45.150000
71,5_80,29735,180,0,34.010000
72,5_80,29949,180,0,38.910000
73,5_80,30094,180,0,33.590000
74,5_80,30430,180,0,61.010000
75,5_80,30464,180,0,38.230000
76,5_80,305,180,0,53.200000
77,5_80,30882,180,0,22.690000
78,5_80,31055,180,0,61.310000
79,5_80,31323,180,0,32.700000
80,5_80,31462,180,0,90.510000
81,5_80,31725,180,0,52.640000
82,5_80,31836,180,0,43.920000
83,5_80,31993,180,0,67.670000
84,5_80,32093,180,0,60.680000
85,5_80,32159,180,0,178.280000
86,5_80,32424,180,0,28.700000
87,5_80,3324,180,0,61.760000
88,5_80,3487,180,0,84.590000
89,5_80,4616,180,0,59.520000
90,5_80,4896,180,0,49.200000
91,5_80,5072,180,0,46.950000
92,5_80,516,180,0,70.090000
93,5_80,534,180,0,52.830000
94,5_80,6248,180,0,23.960000
95,5_80,7025,180,0,109.660000
96,5_80,7405,180,0,33.190000
97,5_80,752,180,0,62.360000
98,5_80,8345,180,0,52.770000
99,5_80,8460,180,0,95.830000
100,5_80,890,180,0,78.220000
