i,instanceName,randomSeed,initialCost,finalCost,runtimeSeconds
1,3_45,10051,43,0,0.170000
2,3_45,10290,43,0,0.110000
3,3_45,10704,43,0,0.060000
4,3_45,11499,43,0,0.100000
5,3_45,11888,43,0,0.040000
6,3_45,11937,43,0,0.090000
7,3_45,12030,43,0,0.070000
8,3_45,12148,43,0,0.070000
9,3_45,13012,43,0,0.150000
10,3_45,13088,43,0,0.240000
11,3_45,13093,43,0,0.100000
12,3_45,13598,43,0,0.060000
13,3_45,13680,43,0,0.060000
14,3_45,13805,43,0,0.180000
15,3_45,1431,43,0,0.080000
16,3_45,14590,43,0,0.070000
17,3_45,14701,43,0,0.050000
18,3_45,14735,43,0,0.100000
19,3_45,14829,43,0,0.190000
20,3_45,15011,43,0,0.140000
21,3_45,15299,43,0,0.200000
22,3_45,15355,43,0,0.210000
23,3_45,15511,43,0,0.100000
24,3_45,15883,43,0,0.100000
25,3_45,15891,43,0,0.080000
26,3_45,16120,43,0,0.060000
27,3_45,16702,43,0,0.170000
28,3_45,16859,43,0,0.080000
29,3_45,17665,43,0,0.130000
30,3_45,17699,43,0,0.080000
31,3_45,17839,43,0,0.050000
32,3_45,18109,43,0,0.200000
33,3_45,18448,43,0,0.100000
34,3_45,1885,43,0,0.110000
35,3_45,19205,43,0,0.080000
36,3_45,19260,43,0,0.060000
37,3_45,19428,43,0,0.100000
38,3_45,19473,43,0,0.350000
39,3_45,19519,43,0,0.100000
40,3_45,19883,43,0,0.080000
41,3_45,20369,43,0,0.070000
42,3_45,20645,43,0,0.130000
43,3_45,21023,43,0,0.120000
44,3_45,21099,43,0,0.060000
45,3_45,21321,43,0,0.060000
46,3_45,21427,43,0,0.130000
47,3_45,21946,43,0,0.120000
48,3_45,22071,43,0,0.070000
49,3_45,22125,43,0,0.040000
50,3_45,22872,43,0,0.150000
51,3_45,23681,43,0,0.110000
52,3_45,24144,43,0,0.150000
53,3_45,24270,43,0,0.100000
54,3_45,24388,43,0,0.070000
55,3_45,24770,43,0,0.130000
56,3_45,25999,43,0,0.110000
57,3_45,26291,43,0,0.110000
58,3_45,26422,43,0,0.120000
59,3_45,27023,43,0,0.060000
60,3_45,27313,43,0,0.060000
61,3_45,27365,43,0,0.200000
62,3_45,27685,43,0,0.120000
63,3_45,2836,43,0,0.080000
64,3_45,28373,43,0,0.170000
65,3_45,28848,43,0,0.110000
66,3_45,29103,43,0,0.090000
67,3_45,29163,43,0,0.100000
68,3_45,29319,43,0,0.080000
69,3_45,2948,43,0,0.090000
70,3_45,29712,43,0,0.080000
71,3_45,29735,43,0,0.100000
72,3_45,29949,43,0,0.100000
73,3_45,30094,43,0,0.180000
74,3_45,30430,43,0,0.100000
75,3_45,30464,43,0,0.100000
76,3_45,305,43,0,0.070000
77,3_45,30882,43,0,0.060000
78,3_45,31055,43,0,0.100000
79,3_45,31323,43,0,0.090000
80,3_45,31462,43,0,0.090000
81,3_45,31725,43,0,0.170000
82,3_45,31836,43,0,0.060000
83,3_45,31993,43,0,0.080000
84,3_45,32093,43,0,0.140000
85,3_45,32159,43,0,0.190000
86,3_45,32424,43,0,0.100000
87,3_45,3324,43,0,0.130000
88,3_45,3487,43,0,0.100000
89,3_45,4616,43,0,0.080000
90,3_45,4896,43,0,0.090000
91,3_45,5072,43,0,0.150000
92,3_45,516,43,0,0.120000
93,3_45,534,43,0,0.120000
94,3_45,6248,43,0,0.060000
95,3_45,7025,43,0,0.040000
96,3_45,7405,43,0,0.080000
97,3_45,752,43,0,0.120000
98,3_45,8345,43,0,0.120000
99,3_45,8460,43,0,0.140000
100,3_45,890,43,0,0.150000
101,
