i,instanceName,randomSeed,initialCost,finalCost,runtimeSeconds
1,4_10,10051,294,0,3.530000
2,4_10,10290,294,0,2.450000
3,4_10,10704,294,0,2.460000
4,4_10,11499,294,0,1.970000
5,4_10,11888,294,0,6.920000
6,4_10,11937,294,0,4.160000
7,4_10,12030,294,0,2.130000
8,4_10,12148,294,0,5.160000
9,4_10,13012,294,0,4.130000
10,4_10,13088,294,0,1.890000
11,4_10,13093,294,0,2.720000
12,4_10,13598,294,0,2.450000
13,4_10,13680,294,0,2.330000
14,4_10,13805,294,0,4.850000
15,4_10,1431,294,0,1.530000
16,4_10,14590,294,0,2.960000
17,4_10,14701,294,0,2.210000
18,4_10,14735,294,0,4.520000
19,4_10,14829,294,0,2.820000
20,4_10,15011,294,0,2.150000
21,4_10,15299,294,0,3.850000
22,4_10,15355,294,0,1.780000
23,4_10,15511,294,0,2.030000
24,4_10,15883,294,0,4.790000
25,4_10,15891,294,0,1.870000
26,4_10,16120,294,0,1.820000
27,4_10,16702,294,0,3.920000
28,4_10,16859,294,0,2.740000
29,4_10,17665,294,0,2.540000
30,4_10,17699,294,0,2.580000
31,4_10,17839,294,0,3.920000
32,4_10,18109,294,0,3.220000
33,4_10,18448,294,0,2.560000
34,4_10,1885,294,0,4.100000
35,4_10,19205,294,0,2.860000
36,4_10,19260,294,0,4.140000
37,4_10,19428,294,0,4.670000
38,4_10,19473,294,0,3.530000
39,4_10,19519,294,0,1.590000
40,4_10,19883,294,0,5.270000
41,4_10,20369,294,0,3.280000
42,4_10,20645,294,0,4.200000
43,4_10,21023,294,0,1.570000
44,4_10,21099,294,0,3.450000
45,4_10,21321,294,0,2.620000
46,4_10,21427,294,0,5.040000
47,4_10,21946,294,0,2.260000
48,4_10,22071,294,0,1.950000
49,4_10,22125,294,0,3.880000
50,4_10,22872,294,0,4.350000
51,4_10,23681,294,0,2.770000
52,4_10,24144,294,0,3.690000
53,4_10,24270,294,0,9.740000
54,4_10,24388,294,0,4.730000
55,4_10,24770,294,0,3.360000
56,4_10,25999,294,0,3.290000
57,4_10,26291,294,0,4.340000
58,4_10,26422,294,0,2.620000
59,4_10,27023,294,0,4.750000
60,4_10,27313,294,0,1.420000
61,4_10,27365,294,0,6.290000
62,4_10,27685,294,0,2.850000
63,4_10,2836,294,0,2.310000
64,4_10,28373,294,0,2.760000
65,4_10,28848,294,0,5.250000
66,4_10,29103,294,0,1.280000
67,4_10,29163,294,0,6.980000
68,4_10,29319,294,0,3.780000
69,4_10,2948,294,0,4.990000
70,4_10,29712,294,0,2.510000
71,4_10,29735,294,0,1.770000
72,4_10,29949,294,0,2.420000
73,4_10,30094,294,0,1.910000
74,4_10,30430,294,0,4.290000
75,4_10,30464,294,0,2.600000
76,4_10,305,294,0,2.970000
77,4_10,30882,294,0,2.220000
78,4_10,31055,294,0,6.750000
79,4_10,31323,294,0,3.980000
80,4_10,31462,294,0,3.880000
81,4_10,31725,294,0,3.340000
82,4_10,31836,294,0,1.820000
83,4_10,31993,294,0,4.650000
84,4_10,32093,294,0,3.130000
85,4_10,32159,294,0,5.550000
86,4_10,32424,294,0,2.860000
87,4_10,3324,294,0,2.270000
88,4_10,3487,294,0,2.440000
89,4_10,4616,294,0,2.410000
90,4_10,4896,294,0,2.030000
91,4_10,5072,294,0,3.310000
92,4_10,516,294,0,4.290000
93,4_10,534,294,0,2.510000
94,4_10,6248,294,0,5.430000
95,4_10,7025,294,0,3.520000
96,4_10,7405,294,0,2.410000
97,4_10,752,294,0,5.380000
98,4_10,8345,294,0,3.000000
99,4_10,8460,294,0,2.140000
100,4_10,890,294,0,3.450000
