i,instanceName,randomSeed,initialCost,finalCost,runtimeSeconds
1,4_80,10051,45,0,2.430000
2,4_80,10290,45,0,4.850000
3,4_80,10704,45,0,1.960000
4,4_80,11499,45,0,1.950000
5,4_80,11888,45,0,2.460000
6,4_80,11937,45,0,3.240000
7,4_80,12030,45,0,2.970000
8,4_80,12148,45,0,1.780000
9,4_80,13012,45,0,6.860000
10,4_80,13088,45,0,2.410000
11,4_80,13093,45,0,2.970000
12,4_80,13598,45,0,2.620000
13,4_80,13680,45,0,6.490000
14,4_80,13805,45,0,3.890000
15,4_80,1431,45,0,2.190000
16,4_80,14590,45,0,4.440000
17,4_80,14701,45,0,4.760000
18,4_80,14735,45,0,2.990000
19,4_80,14829,45,0,3.810000
20,4_80,15011,45,0,4.610000
21,4_80,15299,45,0,1.620000
22,4_80,15355,45,0,4.640000
23,4_80,15511,45,0,3.840000
24,4_80,15883,45,0,3.070000
25,4_80,15891,45,0,5.970000
26,4_80,16120,45,0,4.760000
27,4_80,16702,45,0,2.010000
28,4_80,16859,45,0,3.730000
29,4_80,17665,45,0,2.150000
30,4_80,17699,45,0,3.840000
31,4_80,17839,45,0,4.600000
32,4_80,18109,45,0,2.770000
33,4_80,18448,45,0,4.230000
34,4_80,1885,45,0,2.650000
35,4_80,19205,45,0,2.100000
36,4_80,19260,45,0,2.750000
37,4_80,19428,45,0,2.330000
38,4_80,19473,45,0,4.980000
39,4_80,19519,45,0,2.620000
40,4_80,19883,45,0,3.590000
41,4_80,20369,45,0,4.760000
42,4_80,20645,45,0,3.680000
43,4_80,21023,45,0,9.060000
44,4_80,21099,45,0,3.800000
45,4_80,21321,45,0,3.610000
46,4_80,21427,45,0,2.510000
47,4_80,21946,45,0,4.100000
48,4_80,22071,45,0,2.550000
49,4_80,22125,45,0,1.670000
50,4_80,22872,45,0,7.990000
51,4_80,23681,45,0,5.460000
52,4_80,24144,45,0,10.370000
53,4_80,24270,45,0,3.790000
54,4_80,24388,45,0,4.490000
55,4_80,24770,45,0,2.070000
56,4_80,25999,45,0,3.600000
57,4_80,26291,45,0,4.620000
58,4_80,26422,45,0,5.030000
59,4_80,27023,45,0,2.130000
60,4_80,27313,45,0,3.450000
61,4_80,27365,45,0,7.170000
62,4_80,27685,45,0,2.740000
63,4_80,2836,45,0,3.110000
64,4_80,28373,45,0,3.170000
65,4_80,28848,45,0,3.230000
66,4_80,29103,45,0,2.890000
67,4_80,29163,45,0,4.330000
68,4_80,29319,45,0,2.680000
69,4_80,2948,45,0,2.110000
70,4_80,29712,45,0,1.750000
71,4_80,29735,45,0,3.180000
72,4_80,29949,45,0,5.350000
73,4_80,30094,45,0,3.580000
74,4_80,30430,45,0,6.460000
75,4_80,30464,45,0,3.660000
76,4_80,305,45,0,3.520000
77,4_80,30882,45,0,1.840000
78,4_80,31055,45,0,3.140000
79,4_80,31323,45,0,1.990000
80,4_80,31462,45,0,2.850000
81,4_80,31725,45,0,3.790000
82,4_80,31836,45,0,3.180000
83,4_80,31993,45,0,2.920000
84,4_80,32093,45,0,3.720000
85,4_80,32159,45,0,3.090000
86,4_80,32424,45,0,5.670000
87,4_80,3324,45,0,1.800000
88,4_80,3487,45,0,1.860000
89,4_80,4616,45,0,4.700000
90,4_80,4896,45,0,2.290000
91,4_80,5072,45,0,6.620000
92,4_80,516,45,0,2.860000
93,4_80,534,45,0,3.190000
94,4_80,6248,45,0,4.040000
95,4_80,7025,45,0,2.130000
96,4_80,7405,45,0,2.840000
97,4_80,752,45,0,4.890000
98,4_80,8345,45,0,2.970000
99,4_80,8460,45,0,6.090000
100,4_80,890,45,0,6.530000
