i,instanceName,randomSeed,initialCost,finalCost,runtimeSeconds
1,5_10,10051,758,0,48.080000
2,5_10,10290,758,0,44.390000
3,5_10,10704,758,0,52.250000
4,5_10,11499,758,0,66.690000
5,5_10,11888,758,0,51.520000
6,5_10,11937,758,0,55.150000
7,5_10,12030,758,0,53.220000
8,5_10,12148,758,0,35.730000
9,5_10,13012,758,0,49.730000
10,5_10,13088,758,0,47.300000
11,5_10,13093,758,0,59.880000
12,5_10,13598,758,0,74.600000
13,5_10,13680,758,0,43.180000
14,5_10,13805,758,0,48.230000
15,5_10,1431,758,0,34.660000
16,5_10,14590,758,0,91.260000
17,5_10,14701,758,0,88.640000
18,5_10,14735,758,0,43.710000
19,5_10,14829,758,0,50.800000
20,5_10,15011,758,0,46.840000
21,5_10,15299,758,0,60.860000
22,5_10,15355,758,0,39.420000
23,5_10,15511,758,0,43.720000
24,5_10,15883,758,0,59.640000
25,5_10,15891,758,0,36.120000
26,5_10,16120,758,0,41.140000
27,5_10,16702,758,0,47.670000
28,5_10,16859,758,0,51.680000
29,5_10,17665,758,0,60.080000
30,5_10,17699,758,0,83.480000
31,5_10,17839,758,0,39.480000
32,5_10,18109,758,0,59.820000
33,5_10,18448,758,0,54.600000
34,5_10,1885,758,0,47.340000
35,5_10,19205,758,0,37.810000
36,5_10,19260,758,0,87.620000
37,5_10,19428,758,0,52.700000
38,5_10,19473,758,0,53.480000
39,5_10,19519,758,0,54.820000
40,5_10,19883,758,0,81.950000
41,5_10,20369,758,0,31.160000
42,5_10,20645,758,0,57.710000
43,5_10,21023,758,0,37.430000
44,5_10,21099,758,0,52.240000
45,5_10,21321,758,0,43.560000
46,5_10,21427,758,0,29.830000
47,5_10,21946,758,0,60.350000
48,5_10,22071,758,0,30.140000
49,5_10,22125,758,0,35.240000
50,5_10,22872,758,0,42.320000
51,5_10,23681,758,0,55.850000
52,5_10,24144,758,0,37.280000
53,5_10,24270,758,0,29.440000
54,5_10,24388,758,0,52.360000
55,5_10,24770,758,0,66.630000
56,5_10,25999,758,0,75.600000
57,5_10,26291,758,0,59.040000
58,5_10,26422,758,0,43.930000
59,5_10,27023,758,0,55.650000
60,5_10,27313,758,0,64.720000
61,5_10,27365,758,0,82.120000
62,5_10,27685,758,0,46.760000
63,5_10,2836,758,0,66.590000
64,5_10,28373,758,0,46.820000
65,5_10,28848,758,0,70.410000
66,5_10,29103,758,0,20.540000
67,5_10,29163,758,0,65.230000
68,5_10,29319,758,0,32.590000
69,5_10,2948,758,0,71.670000
70,5_10,29712,758,0,44.130000
71,5_10,29735,758,0,50.990000
72,5_10,29949,758,0,56.980000
73,5_10,30094,758,0,50.340000
74,5_10,30430,758,0,49.170000
75,5_10,30464,758,0,87.490000
76,5_10,305,758,0,106.550000
77,5_10,30882,758,0,52.210000
78,5_10,31055,758,0,79.150000
79,5_10,31323,758,0,31.740000
80,5_10,31462,758,0,48.070000
81,5_10,31725,758,0,56.510000
82,5_10,31836,758,0,60.280000
83,5_10,31993,758,0,43.910000
84,5_10,32093,758,0,53.050000
85,5_10,32159,758,0,53.880000
86,5_10,32424,758,0,29.760000
87,5_10,3324,758,0,62.360000
88,5_10,3487,758,0,51.110000
89,5_10,4616,758,0,45.850000
90,5_10,4896,758,0,41.360000
91,5_10,5072,758,0,32.320000
92,5_10,516,758,0,47.020000
93,5_10,534,758,0,63.790000
94,5_10,6248,758,0,51.540000
95,5_10,7025,758,0,79.010000
96,5_10,7405,758,0,35.320000
97,5_10,752,758,0,78.040000
98,5_10,8345,758,0,59.000000
99,5_10,8460,758,0,59.490000
100,5_10,890,758,0,52.330000
