data;

param order := 5;
param n := 25;
param givens :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 :=
                1  4 . . . 5 . . . . . 14 . . . . . . . . . 18 13 . . 8 
                2  12 . 8 . 25 . 2 . . 11 . . 24 . 19 21 . . . . . . 5 1 7 
                3  . 23 . . . . 24 . . . . 12 2 . . . . . . . 3 . 25 . . 
                4  . 9 . . . . . 22 . 1 7 . 18 13 21 8 . 23 . . 11 . . . . 
                5  . 10 21 . 16 . 7 . . . . 8 4 . . . . 24 . . . . . . 12 
                6  . . 7 8 13 . 18 25 9 10 12 . . . 22 . . 16 . . . . 20 19 . 
                7  . 18 15 24 2 . 21 . 23 4 . . . 14 . . 17 20 . . 10 8 . 11 . 
                8  16 5 . 19 10 . 17 14 . 15 . . . 24 . 12 . . 11 . . 22 . 3 . 
                9  . 4 . 14 . 2 . 16 . . 18 . . . . 9 19 . . . . 1 . . . 
                10 25 . 1 . . 5 . . . . 15 . . 21 . . . . . 18 17 4 16 . . 
                11 19 . 16 11 18 . 4 1 2 . . 20 9 22 . 3 . 21 17 12 . 15 . 10 . 
                12 . . . 2 12 14 . . . 20 . 13 5 . 16 . . 6 . . 19 17 . . . 
                13 . . . . 23 . 3 10 . 17 . 19 12 18 . 7 11 . 5 . . . 6 . 24 
                14 . . . 9 . 19 . 24 15 23 . . 17 . . . . 22 . . 13 3 . . . 
                15 14 17 . . . . . . . . 3 . . 1 15 18 13 . . 2 22 . . 21 . 
                16 . . 18 . 4 . . 15 21 . . 14 20 . . 11 . . . . 7 . 24 . . 
                17 . . 11 15 . . . 20 . . . 18 . . . 24 . . . . . . 10 16 13 
                18 . 3 . . . . . 6 17 . 19 . 1 . . . . 18 4 . 23 25 . . 20 
                19 . . . 21 . . . 8 . . 9 22 . . . . . 2 . . . . 11 18 . 
                20 . . . 23 17 . 11 . . . . . . . 10 20 . . 6 13 . 19 . 5 22 
                21 5 . . . . . 8 . . 9 . 1 . 19 4 . 10 17 . 15 . . . 13 . 
                22 . 13 24 . . . . 18 6 7 . . . 12 . . 25 9 16 22 1 5 4 . . 
                23 . . 4 6 9 21 15 . . . . . 14 . . 13 12 5 . . 8 . . . 17 
                24 . . . 16 8 25 . . 3 5 . 10 . . . . . . . 14 6 18 . . . 
                25 . . . . . . 1 . 13 16 6 . 22 . 9 4 . 7 . 3 24 . . . 10 
;
end;
