data;

param order := 4;
param n := 16;
param givens :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 :=
                1 13 16 10 11 9 . 7 1 4 3 6 5 8 15 12 14 
                2 7 14 6 . 15 . 3 . . 8 9 10 13 2 11 16 
                3 3 12 1 2 6 8 16 . 13 7 14 15 10 9 . 5 
                4 8 9 15 5 13 10 . 4 16 . 11 12 . 7 . 3 
                5 11 13 14 . 1 4 . 7 9 6 . . 2 5 . 8 
                6 6 5 7 16 14 13 2 10 . 15 12 . 1 4 3 . 
                7 2 8 4 9 3 11 12 5 7 1 16 14 15 10 . 13 
                8 1 10 3 15 . 6 9 . 2 . 13 4 11 . 7 . 
                9 . 15 16 8 11 1 . 2 10 14 7 6 9 . . . 
                10 14 7 9 . 4 . . 15 12 11 5 . 16 8 10 2 
                11 4 2 11 3 10 . 6 16 8 13 . 9 . 1 5 7 
                12 . 1 . 10 7 . 8 9 3 16 4 2 12 6 15 11 
                13 10 3 12 1 2 15 11 13 . 9 8 7 4 . 14 6 
                14 16 6 8 . 5 9 4 3 15 . 1 11 7 13 2 . 
                15 15 11 2 13 8 . . 6 14 4 . 16 . . 9 1 
                16 9 4 5 7 12 16 . 14 6 10 2 13 3 11 8 15 
;

end;
