data;

param order := 4;
param n := 16;
param givens :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 :=
                1 4 . . . . 10 6 . . 9 . 13 14 7 . . 
                2 . . 9 . . 4 . . . 1 5 11 . 2 . . 
                3 12 15 . . 2 . 5 1 10 6 . . . 4 . 13 
                4 5 . . . . . . 14 3 2 4 16 12 . . . 
                5 6 5 . . . 14 . . . . . 15 1 . 4 3 
                6 1 10 . . 8 16 9 6 . 4 . . . . 14 . 
                7 2 . . . . . 12 11 . . . 1 . 13 . . 
                8 . 13 . . . 1 15 . 9 . 10 . . 8 . 16 
                9 . . 1 2 11 . . . . 15 . 7 . 5 9 4 
                10 13 . 10 . . 9 . . . 5 . . . . 15 . 
                11 8 9 15 . . . . 10 16 . 11 . . . 7 . 
                12 . 14 6 4 . . . . . 10 . . 13 . 2 . 
                13 . 6 . 14 3 . 4 . . . 1 . . . . 2 
                14 9 4 . . 14 12 1 16 . . 2 . 3 15 . . 
                15 10 3 12 1 13 . 11 15 5 . 8 9 . . 16 14 
                16 15 . 2 13 . . 10 . . . . . . . 12 . 
;

end;
