data;

param order := 5;
param n := 25;
param givens :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 :=
                1  19 . 16 . . 1 4 13 6 2 7 23 9 22 20 3 12 21 17 . 15 5 10 8 14 
                2  7 . 5 20 6 24 25 19 23 . 2 11 . 10 21 . 8 . 14 1 3 18 . 12 13 
                3  . 1 13 23 . . 3 16 . 22 14 4 12 18 19 7 20 15 . 11 2 . 9 6 25 
                4  . 4 10 24 17 11 5 8 12 7 15 3 6 1 25 . 2 19 9 13 20 . 21 23 . 
                5  3 . 22 12 15 . 9 . . 18 16 24 5 8 . 25 4 6 10 23 17 . . . 19 
                6  24 10 . 7 . . 16 9 2 17 . 19 1 11 15 22 21 18 4 5 . 20 8 14 23 
                7  . 21 . 14 1 8 . 12 . 5 17 . 25 23 22 15 10 2 7 16 6 3 18 11 4 
                8  9 15 11 6 19 . 23 22 25 1 . 5 7 4 18 24 . 14 12 3 21 13 . 10 2 
                9  8 23 25 . 2 7 11 4 18 . . 21 16 3 . 20 . . 6 9 19 22 5 15 12 
                10 22 . 18 4 16 15 13 10 3 21 12 . . 6 14 11 19 . 23 8 9 . 17 24 7 
                11 20 17 2 . 9 22 10 3 1 12 21 7 18 13 . 8 . 23 25 6 14 4 24 19 11 
                12 12 22 8 . 14 . 2 6 11 . 19 . 24 . 23 21 16 3 13 . . 7 1 5 . 
                13 . 7 6 5 24 17 20 23 21 16 1 14 . 25 3 10 . 12 . 22 13 8 15 2 18 
                14 . 3 . 16 10 13 7 15 19 25 20 22 4 5 8 1 11 . . 14 23 . 6 17 9 
                15 . . 19 . . . 24 18 14 8 6 10 2 9 12 17 7 . 15 20 16 21 22 25 3 
                16 25 12 1 . 20 3 6 5 . 19 11 . 8 . 9 2 . 10 24 7 4 23 14 . 17 
                17 6 24 . 2 18 12 . 1 4 . 3 . 19 14 7 5 25 20 22 . 8 9 11 . 10 
                18 16 . 9 . 5 14 17 7 15 . 25 . 13 24 6 . 23 . 11 . 22 2 3 . 21 
                19 23 14 3 11 4 16 . 2 8 24 5 18 10 20 17 9 6 . 21 . . 25 12 . . 
                20 . 8 7 13 21 25 18 11 10 9 . 12 23 2 4 . 1 16 3 15 24 . 19 20 5 
                21 2 16 17 8 22 4 12 25 5 3 24 13 15 7 10 . 14 11 1 21 18 19 . 9 6 
                22 15 18 14 19 . . . . 16 13 9 . 22 . 5 4 . 7 8 2 12 . 25 . 24 
                23 5 25 23 3 12 2 8 24 . 11 . . 21 19 1 6 15 . 18 10 7 14 13 22 16 
                24 10 20 24 . 13 18 14 17 7 . 23 8 . . 11 19 22 9 16 25 5 15 2 4 . 
                25 1 6 4 9 7 19 15 21 . 10 18 25 14 16 2 . 24 5 20 . 11 17 23 3 . 
;
end;
